ts;tagName;tagValue;quality
2018-10-15 17:00:00.000;Chdr_H_1_P_MIECT_kWh;192041;0
2018-10-15 17:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 17:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 17:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 17:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 17:00:00.000;ECS_H_1_1_P_MIECT_kWh;25275;0
2018-10-15 17:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.71;0
2018-10-15 17:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 17:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 17:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 18:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 18:00:00.000;Chdr_H_1_P_MIECT_kWh;192061;0
2018-10-15 18:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 18:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 18:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 18:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 18:00:00.000;ECS_H_1_1_P_MIECT_kWh;25283;0
2018-10-15 18:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.71;0
2018-10-15 18:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 18:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 18:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 19:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 19:00:00.000;Chdr_H_1_P_MIECT_kWh;192074;0
2018-10-15 19:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 19:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 19:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 19:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 19:00:00.000;ECS_H_1_1_P_MIECT_kWh;25288;0
2018-10-15 19:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.73;0
2018-10-15 19:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 19:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 19:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 20:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 20:00:00.000;Chdr_H_1_P_MIECT_kWh;192080;0
2018-10-15 20:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
